	2bit	3bit	4bit
111111100000000000000000011111111111100000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000001111111111111111011000000000001	1.3697693284703485	1.705776262336533	1.9983159391706515
111110000000000000000000000011111111110000000000000000011111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000011111111111111100000000000000000011100001	1.3697693284703485	1.7237313310647284	2.076584564428357
111110000000000000000000000000001111110000111111110000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
111111111111000000000000111111100000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000111110000000111111111111100000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000000111111111111111111000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000001111110000000000000101111111111100000000000001	1.4636488292592815	1.9255586282484323	2.310605089996448
100000000000000000000000000000000000111111111100000111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100100001111111111111111100000000000000000000000000000000001	1.3697693284703485	1.7013108133867747	2.020557226290945
100000011111111111111111100000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111000000000000000000000000000000000000000011111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
100000000000000000000000000000000001111111111111000000111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000111111111111111111000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111100000000000000000000000000000000000111111111111000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111100000000000000000001111110000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111000000001111110000000000000000000000000000000011	1.2570817983090952	1.5921142889080948	1.8680955122144713
111111111111110000000000000001111100000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111111111000000010000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000111111111111111111000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111111100000000000000000000000000000000000000001111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111111111110000000000011111111000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000111111111111000000001111110000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000001111111111111111110000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
110000000111100000000011111111111110000000000000000000000001	1.3697693284703485	1.7658410736648797	2.1153725416473064
111111100000011111111111100000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000111111111111111111000000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111111000000000000000000000000000000000000000011111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
100000000000000000000111111000000011111111111100000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111111111100000000000000000000000000000000000000011101	1.2570817983090952	1.4898235216379354	1.6886265687654884
100000010000000000001111000000000000000011000000111111111111	1.4636488292592815	1.9653182794238246	2.454291658574391
111111111111111100000000000000000000000000000000011100000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111100000000000011111100000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000011111111111110000000000000000000000000000000111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000011111111111111111100000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000001000000000000000000000001111111111111110000000111	1.3697693284703485	1.758214089685418	2.1467600030248484
100111111111111111000000000000000000000000000000000000001111	1.2570817983090952	1.5352110126094511	1.7691948926049519
111111111111000000000000000000111111100000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000011000000000000111111111111000000000000000011111	1.3697693284703485	1.76584107366488	2.150460260945552
100000111111111111111100000000000000000000000110000000000001	1.3697693284703485	1.7237313310647284	2.057529014828702
111111111100000000001111000000000000000000111110000000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
100000000000000000000111111111111110000000000000000000011111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000111111111111111111000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000111111111111111000000000000000000000001110001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000000001100000000011111100000000000000011111111111	1.3697693284703485	1.76584107366488	2.150460260945552
111111111000000001111111111000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000001111111111111111110000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000011111111100000000000000000000000000000000001111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000011111111111111111100000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100111111111111111111000000000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6552011628103278
100000000111110000011111111111110000000000000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000001111111111111111100000000000000000000000000011	1.2570817983090952	1.5352110126094511	1.757860092913549
111111111000000000000000000000000000000000001111111111000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111110000000000000000000000000000000000000000111111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111110000000000000000000000000000000111111111000000000111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000000011111111111111111100000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000001111111111000011111111000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000001111111111111111110000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
