,seed1,seed2,seed3,seed4,seed5,overlap complexity
900,101010000001101001000111110100100010000000000001001000100011,110110111001000000110000010110000000001000001010010001001001,101100100010001100110000010000101001000010001110100000000011,110001000100100000000000010001001011111000100101100000010101,100100100010010100000100000000011010000011000000100111011011,38719.0
902,101010000001101001000111110100100010000000000001001000100011,110110111001000000110000010110000000001000001010010001001001,101011100010100000000000100110011101010000000010100001100001,110001000100100000000000010001001011111000100101100000010101,100100100010010100000100000000011010000011000000100111011011,38906.0
903,101010000001101001000111110100100010000000000001001000100011,110110111001000000110000010110000000001000001010010001001001,100000010001101100000101010001100000000111011010100100000001,110001000100100000000000010001001011111000100101100000010101,100100100010010100000100000000011010000011000000100111011011,38937.0
1038,111011000000010000100001101101000000001011010000001010001001,110110111001000000110000010110000000001000001010010001001001,101011100010100000000000100110011101010000000010100001100001,100100010100000010110100000000101101100001000010000000110111,100100100010010100000100000000011010000011000000100111011011,39131.0
1088,100011010011101000000010001100000010001010000001011001000011,110110111001000000110000010110000000001000001010010001001001,100000010001101100000101010001100000000111011010100100000001,110000100110100000010100010000001100010000000101110010110001,100100100010010100000100000000011010000011000000100111011011,39181.0
