,seed1,seed2,seed3,seed4,seed5,overlap complexity
533,100000000000000000000000000000000000000001111111111111111111,111111111111111111100000000000000000000000000000000000000001,100000000000000000000000000000000000000011111111111111101111,111111111111111111100000000000000000000000000000000000000001,100000000000000000000000000000000000000001111111111111111111,15336762.0
531,100000000000000000000000000000000000000001111111111111111111,111111111111111111100000000000000000000000000000000000000001,100000111111111111111111000000000000000000000000000000000001,111111111111111111100000000000000000000000000000000000000001,100000000000000000000000000000000000000001111111111111111111,14779658.0
529,100000000000000000000000000000000000000001111111111111111111,111111111111111111100000000000000000000000000000000000000001,100000000001111111111111111110000000000000000000000000000001,111111111111111111100000000000000000000000000000000000000001,100000000000000000000000000000000000000001111111111111111111,14684436.0
525,100000000000000000000000000000000000000001111111111111111111,111111111111111111100000000000000000000000000000000000000001,111111111111111110000000000000000000000000000000000000000111,111111111111111111100000000000000000000000000000000000000001,100000000000000000000000000000000000000001111111111111111111,13895548.0
329,110000000000000000000000000000000000000000111111111111111111,100000000000000000000000000000000000000001111111111111111111,111111111111111111100000000000000000000000000000000000000001,111111111111111111000000000000000000000000000000000000000011,111111111111111111100000000000000000000000000000000000000001,13895452.0
