	('E. Coli k12', 'E. Coli BW25113')	('E. Coli k12', 'Pichia sorbitophila')	('E. Coli BW25113', 'Pichia sorbitophila')	entropies
000010001000000000010111110000110011000001000110010010001110	4560626	15	15	3.519833913343143
000100111000000010010110001101000000010111000100010101000001	4561180	11	11	3.639736840643786
110101101100101010000000000001001011000100000010110000010001	4561575	11	11	3.3565489555547283
110001100000000001001100101000100001001000100101100000011110	4561345	13	12	3.5215859391345434
100011100010000000101000001101100000001001110001011001010000	4561046	12	12	3.6383407116267126
011011000100000001000001001010010010110010001000111010000100	4561139	7	7	3.54368699677558
111001010000000101000001011010011000000000000010101011000011	4561399	13	13	3.361469903875094
011101101100000000000110000001001000110000100010001110101000	4561256	14	14	3.5863090940189304
000101010001100011000100101001110110100010000010000001100000	4560553	16	16	3.664755911598068
001110000101101111000000010001000000000000100000111100001110	4561291	15	15	3.3281342103682494
000110001110100010001100010101000000000101001011100000010100	4561114	11	11	3.628698411115879
011100000100101000011100000100000000100001100011011100100001	4561417	11	11	3.5204959374485245
101000101001000100000000000011110100000001000111001001011100	4561290	8	8	3.525770597461376
000000000010001011010000100011010001101001110000111100010000	4559504	14	14	3.652246376120927
001000000001010010001110110001000000101011100010100010001010	4560898	12	12	3.544778007365264
001001000010011110000010110000010000000100011101001001001100	4561104	8	8	3.607135252048633
010000101100010110001000011111100000001001000100100100000100	4560772	15	15	3.4452241119142566
001100100000100100010010010000001001101010010000011100011010	4561422	9	9	3.509738427762785
010000011001101110010001000100001110000000001100010101000001	4561248	10	10	3.5921664231047936
000010110000111000010000000100011000101001011110001000010100	4560967	9	9	3.6063530074411747
101001100000100100001100000000011001000011101000011000110100	4561436	10	10	3.447501403581492
101010000000000010101100000001001100000000000100011111101011	4561501	6	6	3.3644123930377647
110000110000000011000101010101000010110000011001010000100010	4561473	13	13	3.3702457810130855
000100000100111011101010000010000000010100101100100000101001	4560990	12	12	3.5703223441953806
000101001001101000110000010000001011100100001100000000011011	4561286	15	15	3.6071352520486335
001000001000101101101000100000010001001000100100110001011001	4560925	15	15	3.3869934729847206
011000100100000100011100000110000100100000100000010010110111	4561395	13	13	3.439233929628361
000001010010001000001000111011000100010101000100011100110000	4560556	14	14	3.623553884482336
000001110100001111101010101000000111100000010100000000000001	4560121	10	10	3.208250088813703
000110010001001000000000010001110101110110010000100110001000	4560680	13	13	3.64714998918315
010010100000100001101010011100000101100011000010100000010001	4561455	13	13	3.6010238403569965
011000000010100001101100000000001100101111100001000101100000	4560482	16	16	3.5091736919525998
111000101000110010100000000010010001000110100010000001110010	4561586	13	13	3.5143845257568893
000011100101100010100001001000001000001011110101000100000010	4560896	16	16	3.6231488391085773
000000000000011110000100000101011000001101000111111000100010	4559734	9	9	3.4814991211937176
010010101001000010000010110001000100000000101101100101010010	4561439	12	12	3.404475269868048
100001100011000000110000001011001000110110000000111000100100	4561303	11	11	3.433928703654726
000111100001001000100010011001010001011000111000000100010000	4560723	13	13	3.5737514188460224
010000011000101101000111000100110000010000010000101001000101	4561477	9	9	3.5526443409741524
000000000101110100100110010101110101000000100001000100000101	4560014	11	11	3.549469348929283
100101001000011100000100001011011000110010000100000000010101	4561649	7	7	3.576765711550802
010101000101010001000110010010001100000010010101101100000000	4560751	11	11	3.5387118392435437
000000111001000010001000000111111011000000101000100000000111	4560799	18	18	3.4601082273538295
100101000000001001010000010000101010100000101000010111011010	4561680	8	8	3.346271468174908
001101000000100001100101100001100010110100010010001110000000	4560528	15	15	3.6483372791643656
000000100001010101101000001000101001110101010001001110000000	4559778	21	21	3.574657788985072
101100100100010111010100001001001000001000001001100010000010	4561349	11	11	3.4814991211937176
010001100001100010100100110000100000001010110000000110001101	4561608	21	20	3.4468164472692306
000000111000100100000001110000101110001001010000010100110100	4560727	14	14	3.646180207999207
110000000001000101010010010001001010001100010011011010001000	4560883	15	15	3.4695543215267612
011101000000011100010000010001000011000000110100101110010000	4561153	14	14	3.598609790460215
000000101000010011001100101000001010000000111001000111000011	4560931	14	13	3.525664405192612
110001000100000111100001100110001100000000100100011000110000	4561089	15	15	3.2744768569870466
000100000010000000100001100011000000011111111100011000000110	4560407	12	12	3.1156262620310273
010101001000000001101000110101000000000101000110001100001101	4561363	18	18	3.3568780150926614
011001000010000000001011001111000010010100110100100001000001	4561148	8	8	3.5926196081743185
001010001000011000100100000000100011001001101100001100010110	4561390	14	14	3.475339569806316
101000100000001010100101001010110100010000011011100000000010	4561103	12	12	3.5104725326744757
000000100000000011001111101010010000001100001100100110100001	4560195	11	11	3.545231192434789
110110000000000000000011011010100000101100010010100110000011	4561369	16	16	3.3292515840295462
100000000000100001110000101111000100100011001000011001000101	4560946	14	14	3.4797739326387114
000100100100001000010000011111011001111010001000000101000000	4559954	14	14	3.597800708616362
111000000110011111000100000100010000100001000001001000011001	4561644	10	10	3.306012385006724
001100000111110000111111000100000010010000000000010010010100	4560744	15	15	3.4220811922829673
010001100000000000011000001010000110110100010000000110101111	0	0	0	3.374311672280222
000011000110010000001001100000010001000001101001101110010001	0	0	0	3.5165868404919625
100001010000000101010010100100000010110001000001110100110010	0	0	0	3.57290576319367
101101100000011010010111000010010000001011101000000000010000	0	0	0	3.5356609727302653
000100100101000011101100001001100100001111100000000000000101	0	0	0	3.595314577913268
000110110000100000011011000000101011000010000011000110001001	0	0	0	3.4181239556306395
000000000000000010000010010001011110000100010100101111110011	0	0	0	3.3700735157857276
100101100011010000001000100100001110101010000001001000001010	0	0	0	3.5659361210587517
111110001100100000110011000000000010000101101010100000100000	0	0	0	3.5401348054970114
010100100110100010100100010010100000010011000101100001000100	0	0	0	3.4270534536891524
000011001001000010000110110011010100010000000110110100000010	0	0	0	3.5087205068830754
111010011000111000101001001000011000000000100010101000001000	0	0	0	3.55444450646132
101000100001000100001010001010000001001001101101000100110010	0	0	0	3.38699347298472
110011000000001010111100101000100001010000001010000001000011	0	0	0	3.4713249299568094
111000001110000000000101011001101010110000100001001001000000	0	0	0	3.5734704990038564
001101100000001000101101010010011111001000100000010000000010	0	0	0	3.6414888664351874
000001010001001001101101011001100001100000100001101100000000	0	0	0	3.531325527940575
100100000000001000110100110111011100011011001000010000000000	0	0	0	3.480481200314008
110011010010011100010000000000001111000010001101000000100100	0	0	0	3.4935740542399816
001110001100011001100100010010000100000001011010001001001000	0	0	0	3.5455121122769553
000100110000010000010010000010110011101000001110100000100011	0	0	0	3.582070937524436
000001000010110011010000000000101101011000001111100000100100	0	0	0	3.643645937600347
000101000100100000001110110010010001011000010110011010000000	0	0	0	3.67193338386518
000010100011101110001000101010100100000100000000111000100010	0	0	0	3.5114423138584194
010000100011000000100101000010111100000000110111010000001100	0	0	0	3.6399151137188595
011000000000101010100100000000111001100110100101000100010010	0	0	0	3.542412097164247
010010010110000000000011110001000011000101010110001000000110	0	0	0	3.5801947862014423
100000001000101100011111001000110000000000110100101101000000	0	0	0	3.6235538844823356
000101000101001001000011000001111010110100100000000001000110	0	0	0	3.6483372791643656
001000010011100010001010011000101010100010001000010000110001	0	0	0	3.3886213732445305
000000000000011000111000010111101000010000010100001111010001	0	0	0	3.4900995597142987
000000001001111000010100000011100100010000000111001100110001	0	0	0	3.482816544554242
000101110001010101010110100001000100000000010001100000011010	0	0	0	3.5212300423602163
010110000111010000000010100000000110010100011111001001000000	0	0	0	3.6522463761209276
110011010110000100001101000010010010010000101010000100000010	0	0	0	3.47272641744578
100001000101000000001111010010111000000011001000010110000100	0	0	0	3.6457270229296816
011100000000010000000000111010001000001011000001101001101101	0	0	0	3.4431369570690165
000011010000000001101001101000100100100000000011100011110100	0	0	0	3.4953260800313823
000001000100000001000010010010010011100000111100110011011000	0	0	0	3.5290963759691043
010101101001000101000100100100001001000000110000101001100100	0	0	0	3.4321498406269297
100001100100011100000001000011010010000100010100001010010011	0	0	0	3.487112104245914
010100000000000100110001011010010000000001110011010001000111	0	0	0	3.546983218226191
010010000110001101010000100110000100100101000100101100000001	0	0	0	3.5004038843305136
000101000110001000001101010100000001101000101010100000110001	0	0	0	3.3148937433694705
000000011000010000100100000010101010010011111100010110010000	0	0	0	3.6247411744635523
100011010111010000110110100001000100010000001100010000010000	0	0	0	3.4592018572147802
000000100010001001100010110010001001000010100101001110010010	0	0	0	3.431771632489566
110010000110001010100000100000101000110011000011000010100001	0	0	0	3.362207182176839
000010110110101000000000000001100010110000101011011000100100	0	0	0	3.4280899572075096
010010000100010001111110000001001000100111000010001001000010	0	0	0	3.188973796546537
111001111010000100000001100000011000000001100001100001100001	0	0	0	3.202501252903388
000001100100000001010000100110011000010010010000011101100110	0	0	0	3.542056200389918
100000001101001000101101001110011010001100001000000100010000	0	0	0	3.6010238403569974
000010100011100000100001000000110110101011001000011000011000	0	0	0	3.640754761523495
000111010100011001010010000000001000000110001111000000110010	0	0	0	3.6221309182288675
001000000000000011100100100101010001001010110011100000100101	0	0	0	3.470288426438454
000001100110011000010101000001001100101110001100000010000001	0	0	0	3.527416430984013
101011100111110000101100000000000001000001001000011110000000	0	0	0	3.4173138648831225
110111100000100001001100111000000000001001100100100100000001	0	0	0	3.378722094002073
001100000000011101011001010000101000010001000010001000011110	0	0	0	3.625759095343261
100000000000100011000011001000001110001100010100110011001010	0	0	0	3.4389009650609115
110011101000001011000011100000100100000010110101000001000000	0	0	0	3.6099237813583915
100001010100000100101011000000000101100000000111001001000111	0	0	0	3.4836561923588785
000000001000010011000000100111110101010000110010000010100011	0	0	0	3.573799558541789
100000010000001100000000111100110101000100010101001100101000	0	0	0	3.610835509969337
100000000000010100100001001100111001010010001001000010100111	0	0	0	3.3772778252892346
111010001110010001110010010000000000000001101101000001000100	0	0	0	3.467926421266953
000010101011010000111000010010100000010000011000011011010000	0	0	0	3.6404709455554776
011100010000111000010100000001001101010001100010000001010010	0	0	0	3.567688146850153
001101011100111110000100010111000110001000000000100000000000	0	0	0	3.5742527436113134
101001011000011001001001010000000010010010011100000001110000	0	0	0	3.508013239207778
110111001001101000000000000000010111100010000101001100100000	0	0	0	3.574485523757714
000010001000101000001000000000100011101000010000111110110101	0	0	0	3.4403239313143805
110000001000000000000010000000110111110011000110010110100010	0	0	0	3.4782246763672617
100100001100001010011111100100011000010100100000000001000100	0	0	0	3.520495937448525
010000000101000000111000101100100100011000011000100100010011	0	0	0	3.4932264120634007
001010000001010100000110110000010101110100000110000001000110	0	0	0	3.5168677603341303
000011101000100100101010001000000010001001011011100010000001	0	0	0	3.562259804248592
110110000000010010000100000000001100001101001011101101010000	0	0	0	3.5288125600010867
001000011110010000011010100001101000001001000100000010100110	0	0	0	3.577303610124591
010000000011001001110000000100100100001010010100011010110010	0	0	0	3.590671376045016
000011001001101010000000000011100011000100100110010011001000	0	0	0	3.516586840491963
011000110001100101110000101001011000011000001010000000100000	0	0	0	3.5413220954782276
111000010100001010000111010110000000000000110100101000100001	0	0	0	3.4900514200185317
111000000010010000001001011011011000000101000001101100010000	0	0	0	3.456329263776576
000000010001010110101001100010001100101100100110000100010000	0	0	0	3.573065453630097
000100100000100100000010000000101001111101011000110100000101	0	0	0	3.609367300145954
001010001011000000101010101100010010000000001110100100010100	0	0	0	3.5509404548785177
000100010001000110001001111101011011001000000000100000001100	0	0	0	3.641488866435187
010001100011111101100000010000001000000010110000101100000100	0	0	0	3.4376601769120323
110101101000001001000001000000011000010010110010110001010000	0	0	0	3.5079864019713844
011101000100001000010000010001000000010111000111000101010100	0	0	0	3.397578717443103
000101001011011000001000101000000100001110000001110000011010	0	0	0	3.6469411501472933
000111001010000000001100011100000000100110000001001111100001	0	0	0	3.4343550514878567
100000011110101100101000000110011011000010000100000101000000	0	0	0	3.653158754107692
000001100010100100001110110010100010111000000001000010110000	0	0	0	3.670462277915946
101010000110100000000000100000100011100110011010100001100010	0	0	0	3.5104725326744766
000000010000001110001101000001110100001000100000010110101101	0	0	0	3.497078105822784
000010101000100000010000100010001001111110010111000001000001	0	0	0	3.4584677523030893
011100010000011001001000000000110000001010001101011001101000	0	0	0	3.62407915035817
000111100101000100111100110000100000000000010010010000100101	0	0	0	3.476145755524317
101000000100001000001100011001101000010110100000111000010010	0	0	0	3.5670752713442018
010010000011000000010010000001001000110000100111110011110000	0	0	0	3.3995750892681724
101001010010010000101010000010001101010000111001000101000000	0	0	0	3.443191166280687
111000101000101100000010000101100100000111000100101010000000	0	0	0	3.516991885865722
010000110001100011000000110000001000000100101110000010101101	0	0	0	3.4986518585391115
110100010100011001110000110101010101000100000000010000000001	0	0	0	3.4205074395666384
100010110010000100100010010000100011000001100100100100111000	0	0	0	3.3404141390890434
101001100001000110110001001000000010011100000000100001101100	0	0	0	3.5073243778660017
011001010110000011100001010000001100010010011010000001001000	0	0	0	3.641083821061428
000010011000001110000001000100011011100001100000000110100110	0	0	0	3.4810459361241928
100111100000011101110000001110110000001100010000000000001000	0	0	0	3.3034502684678047
010010001100000100110110100001101100100000100100010010000010	0	0	0	3.377987989090383
001001001000110100000001100010100000000010100010001110111001	0	0	0	3.6282452260463547
010000010100101100000111000001000110011000011010000110000100	0	0	0	3.58252412259396
101000000001001000010110101110011110000100110000000000000011	0	0	0	3.4938845311392677
010000100001110010000010001101011100000000100000001001011101	0	0	0	3.5231603412266916
100001000001001000000100001110100010001001100011100111000001	0	0	0	3.399378882930271
000001000011000001010010101011010101000101000000111011000000	0	0	0	3.563927116535727
000000001101110000001110110010001010100010010001110000001000	0	0	0	3.6695193339683976
010100101100001000100010000001000100100101010100101000010110	0	0	0	3.2427334988351775
000000010110000110000010011100001110110100000101000001001001	0	0	0	3.6508234098674595
000010100010100001000100000000011110001001011110000100110100	0	0	0	3.648621095132384
000001000001010001010011000100101001010001001001001111000100	0	0	0	3.428192603974602
000100110101010010010011100000100000101000001010000100111000	0	0	0	3.5785668859416337
100110101110000000010010000010001100101001000000001000011011	0	0	0	3.554744008942134
001111100000001001111000010000001000001110011001000001100000	0	0	0	3.3651493940753094
100101010101000010011000010110100000000001101000010110000100	0	0	0	3.4905766858943665
001000000001001010101010001000010010101111000100100100000110	0	0	0	3.4667843748556497
100001000001011011001001100000101000100000000001101110110000	0	0	0	3.552991983150733
001101000000000111000001000010100101000001000100101010111100	0	0	0	3.6309275630873485
100011100001000100010001000011000010111011100001000000000011	0	0	0	3.3197082015614177
000011000110011010001100110000111011000000010000001000100001	0	0	0	3.4424541652431446
111001101001110101000000000000110000000101000000010011100100	0	0	0	3.4316453424715854
001000101101101000100100010000000100111001100000011000010100	0	0	0	3.64714998918315
000101000001000100101110010110010000000000000100011010101110	0	0	0	3.5914054809567078
100110100000001010010100000010101010000000110101010000010011	0	0	0	3.213485175359968
101110101001010000010000000110011100000001100010110000000010	0	0	0	3.5592570774310794
001110001110010000100011000000001000100001100100110010100100	0	0	0	3.4897705001763653
110100101010000100000001000101110101000001000000011000011010	0	0	0	3.4921325053478656
110100001010111000000010100010000111100000011110000000000001	0	0	0	3.3177599694321143
001011001010000011011010000010011001110001000001000100000010	0	0	0	3.6403497161497373
000101000100010010010000110000100010001110110011010000110000	0	0	0	3.566903006116844
000001011010010101001110000010001010101110000001010000000010	0	0	0	3.5293772958112717
010010000010010001001110000111000010010110000101100000000110	0	0	0	3.501137989242205
100100001011010001011010100000000000101000010100000011101001	0	0	0	3.4413335975963424
100110000010001011000100110000111000110010100000000011001000	0	0	0	3.516586840491963
001000111100001001001110011000011000000000010000100101001100	0	0	0	3.533908946938864
010110001010001000000011000101011000101001110001100001000000	0	0	0	3.5523605250061343
001100010100101000000100001000000100110110000110100001011100	0	0	0	3.664679925762243
001011000001000100101101100010100000101100000000010000001111	0	0	0	3.4551419737953593
010011001010000101000011000100100000001101100010100010000011	0	0	0	3.491069340898242
010000000000000010101110110101001100011010001010100100000001	0	0	0	3.489081638834588
000100001000011011010000010000100000001101000011111000101100	0	0	0	3.5609609635267145
110010001100100110110110011010000000001001010001001000000000	0	0	0	3.4413150149576954
011001101000011000011011001000001010010001001000100000011000	0	0	0	3.491069340898241
000000000010111110001011000011100000001101010000000100010011	0	0	0	3.54975026877145
000001001110100000100010010110100110000100100011011000100000	0	0	0	3.625305910273737
010001000001010110010000011000000101100110001000101000001110	0	0	0	3.557335682538171
001001100101010001100011010001100010001110000000000000010101	0	0	0	3.5402068863033205
000100001001101000001101101000000100101001000010010001111000	0	0	0	3.624619945057811
011001100001001011000000000000010110011110001000011001000010	0	0	0	3.4563292637765755
000001010000101011000101000001001000101100000100001111010001	0	0	0	3.579865726663509
011000100011000001101010000100000010001101010000000100101110	0	0	0	3.567075271344201
000001000100100010100101100000000100010001110111010000001101	0	0	0	3.579584806821343
011010001001110000101100001100000001000101011000000100100001	0	0	0	3.5803189117330336
001100000001010101000111100100000110000101000100010010110000	0	0	0	3.632888427914606
001110000000001001010110000000001010100100101101001100010010	0	0	0	3.5781618405678746
100001101100101000001100000011000000000000010110001111100010	0	0	0	3.429491444696479
001000000000001011001000111011101000011000100001010101010000	0	0	0	3.6291755372959478
101010011100100001000000000111001011000000100001000001010011	0	0	0	3.4931690088662233
000000100100010001000101001011111011000000010000011101100000	0	0	0	3.6400927374181142
010000100001111000010010100011000010000100110100111000010000	0	0	0	3.5816177524549118
110110000000001000001100000110010000101010111100000011100000	0	0	0	3.5215109622023832
001001100000000100010101001000100011010000100010111000110010	0	0	0	3.6049329373135586
111000010011001011001000001100001000110000000000010001011010	0	0	0	3.477136839167632
000000101101000010110000000000100010011000111001110010001001	0	0	0	3.625831176149571
101100100111000000101000001100111001001000010000010001001000	0	0	0	3.4928184705637917
000010000100001011010000000001001001001001110010101001101100	0	0	0	3.6037908909022573
000000100011000010011010011001010110110100100000000010001010	0	0	0	3.557051866570153
001000000010000001010110010100000110100110100101100001001010	0	0	0	3.5241212184370676
001001111010010001000000000000100000000111001110001101010010	0	0	0	3.540134805497012
101001000010010001100000000001010001101010000001100011001110	0	0	0	3.5223200440462357
111001001100010011100010100000001000110000000101110000000010	0	0	0	3.473076955748212
001010000101000110000000111000001000101100000100011010111000	0	0	0	3.58630909401893
010010010110010100001000110000000101100000000011110010010100	0	0	0	3.594652553807886
000100001000011100100010001101000101011000100010000101001001	0	0	0	3.471354487013929
001000010110100110010100000000001001000000101000110101101001	0	0	0	3.48938939591315
100001111100101000000001001010100100000101101000100000001010	0	0	0	3.528078455089395
100100110100010110000010010000001000101000010001010000010111	0	0	0	3.423380033004843
111001100000101000001101100100000001011000000100000010001011	0	0	0	3.4233800330048427
011010100001000000100110100010000101000011010011011001000000	0	0	0	3.4822332261054094
000001000011111000000010000110110101011010011010000000100000	0	0	0	3.593562552121867
101100110001001110001101001000000001011000010000010000101000	0	0	0	3.6185056372403235
000000010000110111011101000100001000001000110011000010110000	0	0	0	3.6090114033716265
100001101001000100100010011001000010100011000001011110000000	0	0	0	3.6446638584800564
000101001000001000010001001101000001101000111010011000100010	0	0	0	3.4871602439416804
101010010010101010100000000110000010000001000101001110001010	0	0	0	3.3791271393758326
000100100001010010000010101000100000010010010010011111100001	0	0	0	3.3244005520291005
001010001000010110100111000001011000001000000001100111000100	0	0	0	3.6640670502562913
100001100010100001001000001011100000000011001101011000001010	0	0	0	3.5887952247220225
111001000110100001001010101000001000000001100010100000011100	0	0	0	3.529168456775415
100001010011000000110100110000000000010110110100101001000100	0	0	0	3.51686776033413
010000010011000000010111110100100110000010000100000101011000	0	0	0	3.6712713597597983
001010010001010000011111000010000000100011010111000001000001	0	0	0	3.5892752470279428
100101110110010110000100001000100000010010100001000010101000	0	0	0	3.501874990279748
010000110100000000100101001100000000011011000100111001101000	0	0	0	3.5806479712709676
001001000000110000010110010001101101001000101100001000100100	0	0	0	3.4788888649590337
001100000010000100010100011001100001100011100111000001000001	0	0	0	3.419751855890449
100000001110011010000010001100011100010001110110001000000000	0	0	0	3.4592018572147802
000110001001111001010000101000000001001001001010010101010000	0	0	0	3.4788407252632667
000011010100001000010100010001000101000001100010100001111001	0	0	0	3.5247340939430183
010101100000100000010000101011000000010101000011011100101000	0	0	0	3.5467743791903334
000111100100000100011010100001000001001101101000100001010000	0	0	0	3.6446638584800564
110110000100001010010100110000100000110001001010000001000101	0	0	0	3.4473811830794165
010000001010100110101010001001000000010011001000010011100010	0	0	0	3.537364858825901
010010000011100101000010100100000110100011000110001000001001	0	0	0	3.53940070058532
100100101000010100000000011000100000011000011101000110011010	0	0	0	3.55565573755308
000100011101100001000001000010100000101000100100110010011010	0	0	0	3.605947962067417
011100001011001001001001001001001100100100000001000110001000	0	0	0	3.2754071682366397
001011010000100001011000001111000000011101001100100100000000	0	0	0	3.6933428603437157
101000001011000001010000000000010010100000011100101011000111	0	0	0	3.45048986795354
001100111010000100011100000000101011010000010000100001101000	0	0	0	3.632888427914607
000100010001000000110100001000000110011011000001101011011000	0	0	0	3.4714304728497547
000110010001010001000001111000000000001000101010001000111101	0	0	0	3.549469348929283
000100010000101011111000100000101000010100000001011110010000	0	0	0	3.438828884254602
110000000010001011100000100101010011101010000000000100100011	0	0	0	3.4417200603314537
000011100000101110101101101001001000011000001000000000101000	0	0	0	3.6709154629854712
