seeds	e_coli.fa.gz, e_coli_BW25113.fa	e_coli.fa.gz, Pichia_sorbitophila.fa	e_coli_BW25113.fa, Pichia_sorbitophila.fa	entropies
100010010101010010010011001001000010010000010001010010010010	4560631	16	16	2.34514839904
010001000010100100101010000101010100101010100000000010101010	4561432	8	8	2.20659080851
100100001011010010000001010000000110001101101101000000000011	4561434	12	12	2.61621882713
010100101001010001001001010101010001010100000000001010010100	4561324	14	14	2.2331376216
110001001011010000000000100101010101001000010100001010010001	4561631	13	13	2.49651585946
100011001000110001110000100010000000100010000101111011000000	4561011	9	9	2.71502928059
101010101001001001000000100010100010110001000100101010100000	4561324	9	9	2.44731639028
100101010000001010101001001010000010010010100100100101000100	4561424	9	9	2.24101684738
001111000100010111011100000000011111000000010000000000000110	4560798	11	11	2.53312801015
110000010101000000101010000010100100101001001010010001001010	4561733	11	11	2.34848168946
110000000011000000000000000011001101111110000000000001111110	4560981	8	8	2.16270283397
110000000011000000000000000011001101111110000000000001111110	4560981	8	8	2.16270283397
111001000001000011100010100010001100100111110000001000000000	4560347	14	14	2.6428906305
011111100000000000101000000100110011000010010100000010110001	4561496	9	9	2.70548213557
