seeds	e_coli.fa.gz, e_coli_BW25113.fa	e_coli.fa.gz, Pichia_sorbitophila.fa	e_coli_BW25113.fa, Pichia_sorbitophila.fa	entropies
001010101010010100010100001001001010101010010000001000100010	4561325	11	11	2.23839868786
101010101000100000101010000010100010000101010100001000101010	4561834	13	13	2.21765585705
010001011001010110000101000110000001101100110000110000000000	4560227	10	10	2.66604101465
010101010100010000000100100010010101001010101010000000101010	4561576	13	13	2.20659080851
111111000011000010111100000100000000000000000101011000011000	4561174	13	13	2.56332369851
001010100101001010000101000001000100101010101001000010110000	4561141	7	7	2.43460406496
010010010010010010010010100010010010100100010010010011000010	4559538	18	18	2.18455599468
010010010010010010010010100010010010100100010010010011000010	4559538	18	18	2.18455599468
011000000000000000001100011100011100011100000111110001100000	4560283	11	11	2.30504292416
111011000101101000100101010000000010010010000010001001000010	4561382	17	17	2.64743314825
100011000000010000110000000000000000000100011001111111110011	4561204	8	8	2.36185122773
100101010001010100010100100100000010010010010101001000100001	4561682	12	12	2.24972996908
010110101000010101100101000010001010100001010001000001010000	4561212	12	12	2.53080027549
001110000000100000001101100000000000000111100111101001000011	4561050	8	8	2.57032059976
