,seed1,seed2,seed3,seed4,seed5,overlap complexity
1118,100000111111111111110000000000000000000000000000000000011111,110000000000000000001111111111100000000000000000000001111111,100000000000000000000000000000001111111111111000000000111111,111110000000000000000000000000000000000011111111111111000001,111111100000000000000000000001111111111100000000000000000011,326654.0
852,111111111111110000000000000000000000000000000000000000111111,110000000000000000001111111111100000000000000000000001111111,100000000000000000000000000000001111111111111000000000111111,111111000000000000000000000000000000000000000011111111111111,111111100000000000000000000001111111111100000000000000000011,353122.0
169,111111111111100000000000000000000000000000000000000001111111,110000000000000000001111111111100000000000000000000001111111,100000000000000000000000000000001111111111111000000000111111,111111100000000000000000000000000000000000000001111111111111,111111100000000000000000000001111111111100000000000000000011,393053.0
322,111111100000000000000000000000000000000000000001111111111111,110000000000000000001111111111100000000000000000000001111111,100000000000000000000000000000001111111111111000000000111111,111111111111100000000000000000000000000000000000000001111111,111111100000000000000000000001111111111100000000000000000011,393053.0
1134,111100000000000000000000000000000000000011111111111111100001,110000000000000000001111111111100000000000000000000001111111,100000000000000000000000000000001111111111111000000000111111,100001111111111111110000000000000000000000000000000000001111,111111100000000000000000000001111111111100000000000000000011,396641.0
