,seed1,seed2,seed3,seed4,seed5,overlap complexity
0,100101000011111101000001000010001001000100011000000000101001,110100000001000111100010010100000101101000000010100001100001,100101000000000110001000100100010000100000101111110000101001,100001100001010000000101101000001010010001111000100000001011,30003.0,
1,100101000011111101000001000010001001000100011000000000101001,110110010010000010001000100001000000010101000001111101000001,100101000000000110001000100100010000100000101111110000101001,100000101111100000101010000000100001000100010000010010011011,28810.0,
2,100101000011111101000001000010001001000100011000000000101001,110110111001000000110000010110000000001000001010010001001001,100101000000000110001000100100010000100000101111110000101001,100100100010010100000100000000011010000011000000100111011011,25420.0,
3,100101000011111101000001000010001001000100011000000000101001,101001101011000000001110001000000000101000001001000011010011,100101000000000110001000100100010000100000101111110000101001,110010110000100100000101000000000100011100000000110101100101,29730.0,
4,100101000011111101000001000010001001000100011000000000101001,100001000000100011110010110010100000001010000011100000010101,100101000000000110001000100100010000100000101111110000101001,101010000001110000010100000001010011010011110001000000100001,28768.0,
